File,checkpoint_1,checkpoint_2,checkpoint_3,checkpoint_4,checkpoint_5,checkpoint_6,,,,
CO_DenverW,00:21.8,01:40.4,06:08.7,07:52.5,10:08.2,10:08.6,12:18.8,13:31.6,36:24.9,37:38.1
WY_FortCollins,00:26.0,02:00.6,07:45.1,09:49.3,12:37.7,12:38.2,15:13.5,17:09.4,34:07.9,35:40.1
SD_BlackHills,00:31.6,02:41.9,08:50.1,11:08.1,14:08.8,14:09.4,17:01.7,18:37.5,50:37.9,52:11.2
WA_BeaconRock,00:17.0,01:33.0,04:39.5,05:47.7,07:23.7,07:24.1,08:25.2,09:56.9,13:35.9,14:23.1
OR_VancouverOrchard_basemap,00:13.5,00:27.5,01:25.1,01:48.9,02:33.6,02:34.0,02:51.9,03:27.5,24:29.8,24:52.4
RI_Uxbridge,00:07.0,00:20.7,00:45.9,00:56.3,01:17.1,01:17.3,01:23.2,01:28.1,01:45.3,01:56.0
USCan_LakeSuperior,00:09.3,00:29.0,01:22.9,01:44.4,02:27.7,02:28.0,02:43.8,03:01.0,04:51.2,05:12.5
MT_RedRockLakes,00:23.5,01:08.5,03:00.0,03:44.1,05:12.9,05:13.4,05:41.6,06:01.1,12:58.6,13:39.4
VA_Stanardsville,00:09.2,00:25.7,00:50.0,01:00.3,01:24.6,01:36.5,,,,
VA_Hayfield,00:15.8,00:37.2,02:25.9,03:08.9,04:33.3,04:33.8,05:05.8,05:38.1,16:03.5,16:41.9
WY_LakeOwen,00:09.8,00:28.6,01:40.3,02:08.3,03:03.2,03:03.5,03:31.7,04:27.0,13:16.0,13:44.0
WY_EatonRes,00:09.2,01:01.7,01:42.3,01:58.7,02:29.4,02:29.6,02:39.8,02:45.6,03:30.4,03:45.4
WY_CO_Peach,00:11.1,00:23.5,01:21.1,01:44.4,02:31.4,02:31.8,02:49.5,02:59.2,03:44.8,04:05.4
MT_Havre,00:16.4,01:14.2,02:41.2,03:17.5,04:30.5,04:30.9,04:53.2,05:17.1,07:15.7,07:48.4
WA_DesMoines,00:14.0,00:33.1,01:44.9,02:14.1,03:12.3,03:12.7,03:32.3,04:08.0,07:47.7,08:15.6
TX_Driftwood_Wimberley,00:16.4,00:36.7,01:48.4,02:17.8,03:13.8,03:14.2,03:31.0,03:43.7,05:23.5,05:48.4
OR_Washougal,00:15.8,01:03.3,03:02.7,03:50.0,05:24.4,05:24.8,06:02.0,06:18.6,10:14.1,10:57.3
OR_JosephineCounty,00:11.4,00:51.8,01:45.0,02:06.5,02:47.9,02:48.2,03:01.2,03:13.8,06:39.7,06:59.8
JosCtyOR,00:05.7,00:09.4,00:21.5,00:26.6,00:40.5,00:46.9,,,,
WA_PovertyBay2004,00:13.0,00:43.0,02:02.7,02:34.8,03:38.0,03:38.3,04:04.7,04:39.3,13:15.6,13:47.2
rectify2_LawrenceHoffmann,00:01.4,00:04.7,00:11.1,00:13.2,00:17.5,00:20.9,,,,
WA_NWSeattle,00:12.1,00:32.2,01:16.1,01:34.7,02:13.3,02:13.7,02:25.7,02:41.3,05:20.1,05:37.8
WV_BlueGap,00:13.0,00:27.7,01:38.6,02:07.0,03:03.1,03:03.4,03:24.8,03:42.1,05:17.0,05:42.1
WA_Woodland,00:12.3,00:50.0,02:12.5,02:45.2,03:49.1,03:49.5,04:19.5,04:33.4,06:05.4,06:34.5
